Participant_ID,Name,College,State,Track,Day,Time_Slot,Poster_Title,Feedback,Rating
P031,Mark Ross,Purdue University,Massachusetts,Research,1,11:00 AM - 12:30 PM,Study on Climate Change Impact,Comprehensive study with clear findings. The presenter demonstrated strong technical knowledge.,3.8
P038,Brian Jones,University of California Berkeley,Wisconsin,Research,1,11:00 AM - 12:30 PM,Analysis of Renewable Energy Solutions,"Good research work, but could improve on visual presentation. The Q&A session was handled well.",3.5
P048,Monica Trevino,University of California Berkeley,New Jersey,Technical,1,11:00 AM - 12:30 PM,Novel Approach to Digital Healthcare,Impressive research design and methodology. The practical applications were well-explained.,3.8
P060,Morgan Taylor,Harvard University,Ohio,Research,1,11:00 AM - 12:30 PM,Innovative Solution for Digital Healthcare,Interesting topic with practical implications. The practical applications were well-explained.,3.6
P064,Joseph Grimes,University of Pennsylvania,Massachusetts,Technical,1,11:00 AM - 12:30 PM,Creation of Product Design,Novel approach to solving the problem. The research implications were well-discussed.,3.3
P100,Valerie Fowler,Georgia Institute of Technology,Wisconsin,Innovation,1,11:00 AM - 12:30 PM,Breakthrough in Agricultural Technology,Impressive research design and methodology. The research implications were well-discussed.,4.0
P103,Kimberly Romero PhD,University of Michigan,Indiana,Innovation,1,11:00 AM - 12:30 PM,Novel Approach to Digital Healthcare,Novel approach to solving the problem. The practical applications were well-explained.,3.5
P108,Anthony Wise,University of Wisconsin-Madison,Texas,Research,1,11:00 AM - 12:30 PM,Innovative Solution for Sustainable Energy,Novel approach to solving the problem. The methodology was well-explained.,4.7
P121,Derrick Baker,MIT,Georgia,Innovation,1,11:00 AM - 12:30 PM,Analysis of Urban Development,"Good technical depth, but could improve on communication. The practical applications were well-explained.",3.3
P139,Joel Vega,Purdue University,California,Research,1,11:00 AM - 12:30 PM,Novel Approach to Environmental Protection,"Strong technical foundation, but could benefit from more real-world applications. The results were presented clearly.",3.6
P147,Audrey Petersen,Harvard University,Texas,Technical,1,11:00 AM - 12:30 PM,Study on Healthcare Systems,Interesting topic with practical implications. The future work direction was clear.,5.0
P163,Mindy Bailey,Harvard University,New Jersey,Design,1,11:00 AM - 12:30 PM,Implementation of Machine Learning Algorithms,"Good technical depth, but could improve on communication. The practical applications were well-explained.",3.8
P187,Mr. Tyler Powers,University of Washington,Indiana,Innovation,1,11:00 AM - 12:30 PM,Investigation of Urban Development,"Good research work, but could improve on visual presentation. The future work direction was clear.",3.1
P196,Jacob Perez,MIT,Georgia,Design,1,11:00 AM - 12:30 PM,Creation of Urban Planning,Excellent presentation with clear methodology and results. The methodology was well-explained.,4.3
P236,Stephanie West,Caltech,Pennsylvania,Research,1,11:00 AM - 12:30 PM,Novel Approach to Smart Cities,Novel approach to solving the problem. The technical depth was appropriate.,5.0
P262,Michael Nguyen,University of Washington,Georgia,Design,1,11:00 AM - 12:30 PM,Investigation of Healthcare Systems,Excellent presentation with clear methodology and results. The future work direction was clear.,3.6
P279,Logan Peck,University of Wisconsin-Madison,Indiana,Technical,1,11:00 AM - 12:30 PM,Novel Approach to Digital Healthcare,Comprehensive study with clear findings. The presentation style was engaging.,3.1
P293,Brandon Lee,University of Pennsylvania,Massachusetts,Technical,1,11:00 AM - 12:30 PM,Novel Approach to Agricultural Technology,Well-structured presentation with good use of visuals. The technical depth was appropriate.,3.0
P301,Matthew Young,Caltech,Michigan,Technical,1,11:00 AM - 12:30 PM,Breakthrough in Digital Healthcare,"Innovative approach to the problem, well-executed study. The Q&A session was handled well.",4.3
P316,Kathy Cooper,University of Wisconsin-Madison,Texas,Technical,1,11:00 AM - 12:30 PM,Study on Urban Development,"Good research work, but could improve on visual presentation. The future work direction was clear.",4.3
P322,Jennifer Durham,University of Illinois Urbana-Champaign,Washington,Research,1,11:00 AM - 12:30 PM,Study on Renewable Energy Solutions,"Strong technical foundation, but could benefit from more real-world applications. The methodology was well-explained.",3.2
